id,x,y
1,344.37433,293.95422
2,308.57388,289.05017
3,373.90576,288.79898
4,332.86993,374.36896
5,317.70016,316.68817
6,319.2349,301.34906
7,298.7304,308.78076
8,383.72375,366.94193
9,351.98416,322.70605
10,366.86465,359.06595
11,321.76843,318.52884
12,381.83276,350.813
13,320.78012,327.2972
14,377.73053,338.11404
15,345.22134,318.90097
16,296.7083,366.2429
17,284.2906,338.59998
18,383.30908,288.1178
19,316.0561,368.16986
20,324.9949,305.47574
21,298.9475,306.47925
22,306.51996,313.60983
23,345.99228,341.38647
24,345.54315,372.5757
25,318.97476,288.3114
26,367.40875,298.41467
27,351.60803,378.83582
28,348.83817,295.3177
29,322.705,362.85577
30,369.5982,375.0343
31,343.62286,323.6882
32,302.0925,342.09076
33,362.8653,314.546
34,360.0517,321.8016
35,299.92938,340.9195
36,292.18204,349.80734
37,287.0718,344.21997
38,284.75064,354.41583
39,327.49805,325.29492
40,363.34274,362.44568
41,338.56387,359.26022
42,349.6461,368.65973
43,314.57135,323.94388
44,376.6982,333.08084
45,355.40176,361.21393
46,336.0728,292.91324
47,329.63715,323.01968
48,347.45615,351.0788
49,354.43045,380.04126
50,339.01605,299.26132
51,287.93875,292.87164
52,333.29492,321.61023
53,352.57867,372.50354
54,291.22675,307.60214
55,370.41812,350.67236
56,310.19077,333.95047
57,337.69223,358.68045
58,353.9602,354.58228
59,291.36685,340.4005
60,349.242,310.86542
61,353.7676,291.4784
62,291.17877,360.78046
63,374.097,323.52643
64,360.18674,278.51675
65,304.87628,291.14236
66,324.11282,280.8268
67,292.49265,368.6119
68,293.28305,331.62982
69,302.9441,333.20456
70,278.70068,295.51813
71,373.10498,301.0252
72,302.7682,337.12103
73,311.54126,272.50305
74,377.89273,347.4355
75,324.769,301.79413
76,380.4636,353.43274
77,363.85123,320.64456
78,295.0979,328.96567
79,286.69144,276.2021
80,343.41177,317.78735
81,298.26904,314.70065
82,313.92392,348.74994
83,357.1732,324.12225
84,301.1814,297.61603
85,293.18915,314.20868
86,363.28128,332.1291
87,336.21307,292.1443
88,311.36905,289.7956
89,323.44186,371.65128
90,359.75275,340.28427
91,295.5169,370.8862
92,320.48346,282.81747
93,370.43478,325.9458
94,320.582,322.56235
95,328.4966,334.24646
96,302.73444,296.89615
97,357.01617,359.98593
98,327.49536,342.92422
99,398.61127,304.69394
100,315.54504,284.30417
101,343.29544,342.94672
102,382.30334,363.54742
103,326.49097,350.78018
104,352.4833,328.21692
105,368.7527,382.0862
106,317.1853,320.643
107,399.89233,372.02884
108,313.50388,383.7788
109,358.35107,374.0123
110,352.09274,339.3228
111,386.23495,381.44717
112,373.87625,371.70648
113,335.1336,308.72162
114,330.99237,321.37558
115,372.07336,315.5726
116,349.2754,321.32413
117,299.92358,377.15384
118,299.6253,346.41397
119,324.6427,314.89044
120,326.61118,357.1613
121,355.1103,374.76706
