Vaccine Type,DNA vaccine,inactivated vaccine,Live attenuated influenza vaccine,mRNA vaccine,recombinant protein vaccine,viral vector vaccine,Vaccine Trial,clinical trial,Moderna,BioNTech,vaccine dose,Vaccine Accessibility,distribution,logistics,vaccine transport,vaccine store,rollout,Side Effects,autism,delirium,blood clotting,effective vaccine,Immunity,immune,immune escape,Religious,religious belief,Different groups,asymptomatic,pregnant woman,older people,children,fat people,high-risk people,Organization,WHO,COVAX,GAVI,NHS,Politician,politician,Xi Jinping,Joe biden,Donald Trump,Boris Johnson,Владимир Владимирович Путин,Emmanuel Macron,Justin Trudeau,Nation,China,USA,UK,Russia,France,Canada,India,vaccination
0,0,0,0,0,0,0,0,32,3.333333333,0.181818182,0.467532468,0,53,64,0,3.176470588,4.62962963,0,28,36,5.107142857,2.4,0,10,0,0,14,0,1,31,23,45.71428571,51,0,0,16.46031746,1.173333333,32,17,0,15,20,0.5,5.625,1,15.35294118,15.33333333,3,0,27,3.265306122,43,16,29,56,20.45454545,0
0,0,0,0,0,1.058823529,0,0,32,4,0,0.493506494,0,43,44,0,0,10.37037037,0,26,49,9.285714286,0.9,0,11,0,0,14,0,1,35,47,44.95238095,59,0,0,18.61904762,1.28,23,19,0,14,14,0.333333333,5.90625,1,0,19.33333333,2,0,27,3.367346939,46,15,31,54,18.93939394,0
0,0.64516129,15.11111111,0,0,0,0,0,32,4.666666667,0.363636364,1.272727273,0,59,76,39,2.823529412,5.37037037,0,32,38,12.53571429,0.6,0,12,41,0,12,0,1,32,35,44.95238095,65,0,0,15.92063492,1.066666667,25,26,0,13,18,0.5,4.78125,1,0,6.666666667,3,0,27,3.367346939,48,15,33,60,20.45454545,0
0,0,7.555555556,0,0,2.764705882,0,0,34,5.333333333,0.545454545,0.831168831,0,62,75,0,0,2.962962963,0,30,42,14.39285714,1.5,0,12,0,0,48,0,1,30,18,43.42857143,58,0,0,17,0,25,25,0,16,21,0.5,20.25,1,0,6.666666667,3,0,27,5.918367347,46,23,35,58,21.21212121,0
0,0.709677419,0,0,0,0,0,0,22,5.333333333,0.181818182,0.909090909,0,49,52,0,0,5,0,24,40,9.75,0.9,0,11,44,0,51,0,1,30,27,44.19047619,69,0,0,17.80952381,0,28,19,0,15,19,0.5,15.75,1,14.5,11.33333333,3,0,29,6.020408163,48,26,38,63,22.72727273,1
0,0,0,0,0,0,23,0,32,4.666666667,0.181818182,0.675324675,0,54,38,42,0,5,0,25,41,13.46428571,5.7,0,10,0,0,13,0,1,36,24,44.95238095,56,0,0,21.04761905,0,29,20,0,15,21,0.333333333,15.1875,1,0,6.666666667,5,0,28,5.918367347,49,36,44,80,34.84848485,0
0,1.225806452,7.555555556,0,0,0.882352941,42,0,41,4.666666667,0.363636364,1.220779221,0,70,88,0,0,3.518518519,0,36,46,9.75,0.6,0,13,0,0,12,0,1,33,33,50.28571429,46,0,0,18.07936508,0,22,29,0,21,20,0.333333333,16.03125,1,0,8.666666667,2,0,26,5.612244898,49,22,39,64,25,0
0,0,7.111111111,0,0,0.882352941,42,0,51,5.333333333,1.090909091,0.805194805,0,78,92,0,2.647058824,9.074074074,0,35,37,19.5,2.1,0,13,0,0,80,0,1,29,32,46.47619048,48,0,0,17,1.066666667,19,28,0,17,16,0.333333333,13.5,1,39.23529412,3.333333333,6,0,29,5.204081633,49,20,36,61,37.12121212,1
0,0,7.111111111,0,0,2.647058824,42,0,54,5.333333333,0.545454545,1.61038961,0,79,92,0,2.647058824,6.666666667,0,37,43,13,0.6,0,16,0,0,23,0,1,30,41,46.47619048,62,0,0,17.26984127,0,20,28,0,16,21,0.333333333,28.125,1,12.79411765,6.666666667,9,0,29,10.20408163,52,28,38,62,25,0
0,1.225806452,0,0,0,1.764705882,0,0,61,6,0.727272727,2.025974026,0,77,93,0,0,10.18518519,0,36,39,11.60714286,2.1,0,14,0,0,35,0,1,31,38,48.76190476,61,0,0,16.46031746,1.066666667,15,30,0,18,22,0.333333333,12.375,1,0,5.333333333,21,0,27,5.510204082,51,19,38,63,22.72727273,1
